Date;company;Date2;location;Date3;title
2016-07-01;亞旭電腦股份有限公司;2016-07-01;新北市 中和區;2016-07-01;雲端服務工程師
2016-07-01;台灣積體電路製造股份有限公司;2016-07-01;新竹市 東區;2016-07-01;資訊工程類-Big Data Analyst/Data Scientist
2016-07-01;大同醫護股份有限公司;2016-07-01;台北市 大安區;2016-07-01;軟體工程師(SD)
2016-07-01;台灣之星電信股份有限公司;2016-07-01;台北市 內湖區;2016-07-01;資料倉儲資深工程師
2016-07-01;台灣大哥大股份有限公司;2016-07-01;台北市 大安區;2016-07-01;I147資料倉儲分析工程師
2014-03-28;Vpon行動數據科技_有的放矢行動行銷股份有限公司;2014-03-28;台北市 松山區;2014-03-28;Business Analyst
2014-06-23;雲詠科技有限公司;2014-06-23;桃園縣 中壢市;2014-06-23;Hadoop工程師
2014-07-18;台灣新蛋股份有限公司;2014-07-18;台北市 內湖區;2014-07-18;Senior Developer(台北)
2014-07-18;愛爾達科技股份有限公司;2014-07-18;台北市 中正區;2014-07-18;Technical Manager
2014-07-18;友訊科技股份有限公司;2014-07-18;台北市 內湖區;2014-07-18;Cloud Service Developer
2014-07-18;神通資訊科技股份有限公司;2014-07-18;台北市 內湖區;2014-07-18;商業智慧管理師
2014-07-18;台灣積體電路製造股份有限公司;2014-07-18;新竹市;2014-07-18;資訊工程類 - 系統/軟體開發工程師(竹科)
2014-05-08;趨勢科技股份有限公司;2014-05-08;台北市 大安區;2014-05-08;: (Sr.) Developer
2014-08-16;趨勢科技;2014-08-16;台北市;2014-08-16;Sr. Cloud Development Engineer
2014-08-16;宏達國際電子股份有限公司;2014-08-16;新北市 新店區;2014-08-16;(Studio Engineering) Cloud Application Developer - J00801
2014-08-16;宏達國際電子股份有限公司;2014-08-16;新北市 新店區;2014-08-16;(Studio Engineering) Sr./ Server Side Engineer (台北) - J00675
2014-08-16;宏達國際電子股份有限公司;2014-08-16;新北市 新店區;2014-08-16;(Studio Engineering) Big data analysis/ Data mining Engineer (台北) - J00674
2014-08-16;宏碁股份有限公司;2014-08-16;新北市 汐止區;2014-08-16;軟體研發工程師
2014-08-16;宏達國際電子股份有限公司;2014-08-16;新北市 新店區;2014-08-16;(RD S/W) Senior service backend engineer / Applications of cloud services -J00869
